,avg_price,brand_id,brand_name,item_num,sale,sold,second_category_id,second_category_name_en,second_is_parent,second_level,second_name,second_num,second_parent_id,first_category_id,first_category_name_en,first_is_parent,first_level,first_name,first_num,first_parent_id
30,661.18,29470,Bosideng/波司登,1193.0,128598949.0,194500.0,50008899,Down Jackets,False,2,羽绒服,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
31,345.98,29527,Uniqlo/优衣库,23.0,96049727.0,277613.0,50008899,Down Jackets,False,2,羽绒服,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
32,428.7,8598007,HSTYLE/韩都衣舍,127.0,61680503.0,143879.0,50008899,Down Jackets,False,2,羽绒服,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
33,755.04,109718,PEACEBIRD/太平鸟,85.0,61157105.0,80999.0,50008899,Down Jackets,False,2,羽绒服,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
34,864.94,29896,ONLY,80.0,54620855.0,63150.0,50008899,Down Jackets,False,2,羽绒服,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
35,871.08,29902,Vero Moda,49.0,52114977.0,59828.0,50008899,Down Jackets,False,2,羽绒服,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
36,543.41,4057780,乐町,85.0,49746755.0,91545.0,50008899,Down Jackets,False,2,羽绒服,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
37,481.08,115437,裂帛,268.0,31820132.499999985,66143.0,50008899,Down Jackets,False,2,羽绒服,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
38,336.45,111353,yaloo/雅鹿,181.0,31764011.0,94408.0,50008899,Down Jackets,False,2,羽绒服,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
39,387.53,91313798,Goldfarm/高梵,530.0,30027370.0,77483.0,50008899,Down Jackets,False,2,羽绒服,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
40,44.71,343200669,ACOCLZCAMO,121.0,10749542.899999999,240441.0,50000671,T-shirt,False,2,T恤,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
41,59.62,29527,Uniqlo/优衣库,5.0,7821918.0,131206.0,50000671,T-shirt,False,2,T恤,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
42,125.12,29896,ONLY,138.0,6043006.0,48298.0,50000671,T-shirt,False,2,T恤,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
43,171.04,29902,Vero Moda,113.0,5217946.0,30508.0,50000671,T-shirt,False,2,T恤,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
44,96.13,145855418,香菲丽莎,128.0,5000314.0,52014.0,50000671,T-shirt,False,2,T恤,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
45,156.66,29895,Ochirly/欧时力,165.0,4986583.0,31831.0,50000671,T-shirt,False,2,T恤,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
46,317.76,86206958,Mo＆Co．/摩安珂,42.0,4067059.0,12799.0,50000671,T-shirt,False,2,T恤,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
47,194.2,34647955,Five Plus,132.0,4024507.0,20723.0,50000671,T-shirt,False,2,T恤,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
48,87.35,115437,裂帛,160.0,3746315.500000001,42887.0,50000671,T-shirt,False,2,T恤,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
49,69.4,1427702885,,169.0,3077770.0,44348.0,50000671,T-shirt,False,2,T恤,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
50,182.1,29527,Uniqlo/优衣库,23.0,42442861.5,233080.0,50000697,Wool sweater,False,2,毛针织衫,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
51,297.92,115393,Eifini/伊芙丽,143.0,36223691.0,121588.0,50000697,Wool sweater,False,2,毛针织衫,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
52,960.53,29481,Erdos/鄂尔多斯,220.0,26531660.0,27622.0,50000697,Wool sweater,False,2,毛针织衫,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
53,257.77,29902,Vero Moda,202.0,24215232.0,93943.0,50000697,Wool sweater,False,2,毛针织衫,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
54,176.03,4057780,乐町,234.0,23622880.0,134198.0,50000697,Wool sweater,False,2,毛针织衫,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
55,215.49,29896,ONLY,204.0,22634283.0,105038.0,50000697,Wool sweater,False,2,毛针织衫,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
56,239.32,46864,恒源祥,588.0,18464942.0,77155.0,50000697,Wool sweater,False,2,毛针织衫,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
57,597.04,86206958,Mo＆Co．/摩安珂,120.0,15997685.0,26795.0,50000697,Wool sweater,False,2,毛针织衫,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
58,138.53,8598007,HSTYLE/韩都衣舍,164.0,15593324.0,112565.0,50000697,Wool sweater,False,2,毛针织衫,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
59,162.33,12139698,La Chapelle/拉夏贝尔,65.0,15247213.0,93928.0,50000697,Wool sweater,False,2,毛针织衫,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
60,281.25,46864,恒源祥,639.0,32528639.0,115657.0,162103,sweater,False,2,毛衣,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
61,144.41,8598007,HSTYLE/韩都衣舍,124.0,21365282.0,147944.0,162103,sweater,False,2,毛衣,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
62,126.6,4256930,Amii,601.0,17273039.4,136443.0,162103,sweater,False,2,毛衣,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
63,196.64,29895,Ochirly/欧时力,188.0,13170103.0,66977.0,162103,sweater,False,2,毛衣,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
64,224.23,34647955,Five Plus,211.0,12731310.0,56777.0,162103,sweater,False,2,毛衣,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
65,176.46,115437,裂帛,267.0,12170719.200000003,68972.0,162103,sweater,False,2,毛衣,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
66,293.3,109718,PEACEBIRD/太平鸟,52.0,9596925.0,32720.0,162103,sweater,False,2,毛衣,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
67,117.68,172104541,KUOSE/阔色,48.0,9535439.0,81029.0,162103,sweater,False,2,毛衣,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
